house_list,house_info,district,unit_price,followers_and_post_time,,tags
好房出售 滨江物业 房子还不错的 业主诚心卖 随时看房,3室2厅 | 120.63平米 | 南 | 精装 | 16层  | 板楼,金色黎明三期  笕桥,"36,061元/平",7人关注 / 一年前发布,近地铁 VR看装修 房本满五年,
顶跃带露台，近地铁，户型南北通透，视野好，采光充足,4室2厅 | 165.78平米 | 南 北 | 简装 | 6层  | 板塔结合,亲亲家园一期  三墩,"16,709元/平",10人关注 / 4个月以前发布,近地铁 VR房源 随时看房,
满五年 带院子，配套齐全 交通便利 两房户型，诚心卖,2室1厅 | 46.44平米 | 南 | 简装 | 7层  | 板楼,环城东路298-311号  建国北路,"31,224元/平",5人关注 / 10个月以前发布,近地铁 VR房源 房本满两年 随时看房,
大三居，位置佳，楼层好，精装修，业主诚心出售,3室2厅 | 115.3平米 | 南 | 精装 | 16层  | 板楼,上郡  申花,"42,932元/平",5人关注 / 6个月以前发布,近地铁 VR看装修 房本满五年,
绿城品质小区，视野开阔，精装修,4室2厅 | 126.17平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,绿城江畔锦园  富春,"22,985元/平",2人关注 / 5个月以前发布,VR看装修 随时看房,
业主急售！麓宸府  精装修 带车位,4室2厅 | 142.17平米 | 南 | 其他 | 中楼层(共24层)  | 板楼,宋都麓宸府  鹿山新城,"18,922元/平",0人关注 / 24天以前发布,VR看装修 房本满两年,
此房满五唯一，诚心出售，中间楼层，价格适合，地铁口,3室2厅 | 104.85平米 | 南 | 简装 | 7层  | 板楼,永康苑  建国北路,"30,997元/平",16人关注 / 11个月以前发布,近地铁 VR看装修 房本满五年 随时看房,
房子满五年唯一，房东保养的很好的，可以拎包入住,4室2厅 | 137.73平米 | 南 北 | 简装 | 25层  | 塔楼,海珀华庭  东湖,"20,330元/平",1人关注 / 5个月以前发布,近地铁 VR房源,
青山湖科技城精装电梯洋房，户型方正拎包入住,3室2厅 | 103.12平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,大华春山明月  青山湖科技城,"16,486元/平",12人关注 / 一年前发布,VR看装修 房本满两年 随时看房,
此房满五年不唯一，主卧朝南厅朝南，户型方正中间楼层,3室2厅 | 91.76平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,世纪坊  近江,"34,874元/平",3人关注 / 3个月以前发布,VR看装修 房本满五年,
两房一厅，户型好， 配套齐全 ，交通方便,2室1厅 | 57.71平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,崇化住宅区  萧山市区,"17,675元/平",2人关注 / 4个月以前发布,VR看装修 房本满五年,
连城国际大3房   房东急售   带装修   满五年,3室1厅 | 88.42平米 | 南 | 简装 | 14层  | 板楼,复地连城国际  乔司,"17,078元/平",2人关注 / 1个月以前发布,VR房源 房本满五年 随时看房,
品质洋房，双阳台，边套，全明户型，得房率高,3室1厅 | 89.24平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,金成紫辰花园  老余杭,"23,869元/平",2人关注 / 一年前发布,VR看装修 房本满两年 随时看房,
房东诚心出售 边套 采光好 自住装修 拎包入住,3室2厅 | 89.2平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,龙尚府  临平新城,"16,705元/平",3人关注 / 8个月以前发布,VR房源 房本满五年,
满五年 三房朝南 采光好 房东诚心出售,3室2厅 | 85.51平米 | 南 | 其他 | 5层  | 板楼,华宇家园  东湖,"13,800元/平",0人关注 / 31天以前发布,VR房源 房本满五年,
瓜沥东麟府是瓜沥品质标杆精装交付小区,3室1厅 | 94.78平米 | 南 | 其他 | 低楼层(共13层)  | 板塔结合,融创东麟府  瓜沥,"17,620元/平",0人关注 / 4个月以前发布,VR房源 房本满两年 随时看房,
保俶塔小套总价低，宝石山下宜居一室一厅,1室1厅 | 36.77平米 | 南 | 精装 | 6层  | 板塔结合,宝石新村  黄龙,"70,166元/平",4人关注 / 3个月以前发布,近地铁 VR看装修 随时看房,
此房楼层好，视野宽阔，采光充足，满五年，诚心出售,3室2厅 | 87.19平米 | 南 | 简装 | 16层  | 板楼,海棠公寓  九堡,"27,527元/平",7人关注 / 一年前发布,VR看装修 房本满五年 随时看房,
满两年，精装修，采光好，2/5号线500米，配套齐全！,3室2厅 | 119.28平米 | 南 | 其他 | 6层  | 板塔结合,城建公寓  萧山新城区,"26,828元/平",1人关注 / 1个月以前发布,VR看装修 房本满两年,
地铁口万科开发 中间楼层 业主急售,3室2厅 | 84.65平米 | 南 | 精装 | 22层  | 板楼,万科未来城二期  良渚,"24,572元/平",12人关注 / 一年前发布,近地铁 VR看装修 房本满五年 随时看房,
